"Comment","Designator","Footprint","LCSC Part Number"
"4.7u","C1","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"0.1u","C2, C3, C5, C8, C9, C10, C11, C15, C18, C21, C23, C24, C26, C27, C30","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"10u","C4, C6, C7, C16, C17, C19, C20, C25","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"1u","C12, C28, C29","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"47n","C13, C14","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"1n","C22","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"~","D1","","","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",""
"Power_Input","J1","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"Nucleo_3.3","J2","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"Electrode_Input","J3","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"GND_select","J4","","","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical",""
"Conn_02x01","J5, J6","","","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical",""
"VGND","J7","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical",""
"ADC_23","J8","","","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical",""
"ADC_Data","J9","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"ISO_IN_C","J10","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical",""
"MCU_Data","J11","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"SolderJumper_2_Open","JP1, JP2","","","Resistor_SMD:R_0603_1608Metric",""
"1M","R1, R3, R20, R29, R30","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"1K","R2, R4","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"3M","R5, R6","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"56.2k","R7, R8, R9, R10","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"510","R11","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"1k","R12, R13","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"100k","R14, R15","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"10k","R16, R17, R21, R22","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"100","R18, R19","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"10","R23, R24, R25, R26, R27, R28","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"Matched_10K_Resistor_Array_2x","RN1, RN2","","","Senior_Project_Footprints:R_Array_Matched_2x0606",""
"10k","RV1, RV2","","","Senior_Project_Footprints:TRIM_35WR10KLFTR",""
"SW_Push_SPDT","SW1","","","Senior_Project_Footprints:SW_JS102011SCQN",""
"PESE1-S5-S5-M-TR","U1","","","Senior_Project_Footprints:CONV_PESE1-S5-S5-M",""
"AD8237","U2, U3","","","Package_SO:MSOP-8_3x3mm_P0.65mm",""
"AD8606","U4, U5, U7, U8, U9, U11","","","Package_SO:MSOP-8_3x3mm_P0.65mm",""
"TCR2EF33","U6","","","Senior_Project_Footprints:IC_TC4S584F_LF",""
"MCP3562R","U10","","","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm",""
"ISO6763-Q1","U12","","","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm",""
